row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ112052,3,0x0000c000,0x02022557,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112053,3,0x0000c000,0x0202299b,8796093022208,48,"8796093022208/2^48","134217728"
FQ112054,3,0x0000c000,0x02022ddf,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112055,3,0x0000c000,0x02023112,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112056,3,0x0000c000,0x02023556,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112057,3,0x0000c000,0x0202399a,8796093022208,48,"8796093022208/2^48","134217728"
FQ112058,3,0x0000c000,0x02023ccf,8796093022208,48,"8796093022208/2^48","134217728"
FQ112059,3,0x0000c000,0x02023dde,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112060,3,0x0000c000,0x02025227,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112061,3,0x0000c000,0x02025336,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112062,3,0x0000c000,0x02025aaf,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112063,3,0x0000c000,0x02025bbe,8796093022208,48,"8796093022208/2^48","134217728"
FQ112064,3,0x0000c000,0x02026cca,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112065,3,0x0000c000,0x02026ee8,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112066,3,0x0000c000,0x0202922b,8796093022208,48,"8796093022208/2^48","134217728"
FQ112067,3,0x0000c000,0x0202933a,8796093022208,48,"8796093022208/2^48","134217728"
FQ112068,3,0x0000c000,0x02029aa3,8796093022208,48,"8796093022208/2^48","134217728"
FQ112069,3,0x0000c000,0x02029bb2,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112070,3,0x0000c000,0x0202a11b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112071,3,0x0000c000,0x0202a55f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112072,3,0x0000c000,0x0202a993,8796093022208,48,"8796093022208/2^48","134217728"
FQ112073,3,0x0000c000,0x0202add7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112074,3,0x0000c000,0x0202b11a,8796093022208,48,"8796093022208/2^48","134217728"
FQ112075,3,0x0000c000,0x0202b55e,8796093022208,48,"8796093022208/2^48","134217728"
FQ112076,3,0x0000c000,0x0202b992,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112077,3,0x0000c000,0x0202bcc7,8796093022208,48,"8796093022208/2^48","134217728"
FQ112078,3,0x0000c000,0x0202bdd6,8796093022208,48,"8796093022208/2^48","134217728"
FQ112079,3,0x0000c000,0x0202c33f,8796093022208,48,"8796093022208/2^48","134217728"
FQ112080,3,0x0000c000,0x0202c66a,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112081,3,0x0000c000,0x0202cbb7,8796093022208,48,"8796093022208/2^48","134217728"
FQ112082,3,0x0000c000,0x0202ccc0,17592186044416,48,"17592186044416/2^48","268435456"
FQ112083,3,0x0000c000,0x0202cee2,8796093022208,48,"8796093022208/2^48","134217728"
FQ112084,3,0x0000c000,0x0202d22f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112085,3,0x0000c000,0x0202d33e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112086,3,0x0000c000,0x0202daa7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112087,3,0x0000c000,0x0202dbb6,8796093022208,48,"8796093022208/2^48","134217728"
FQ112088,3,0x0000c000,0x0202e668,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112089,3,0x0000c000,0x0202ecc2,8796093022208,48,"8796093022208/2^48","134217728"
FQ112090,3,0x0000c000,0x03031223,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112091,3,0x0000c000,0x03031332,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112092,3,0x0000c000,0x03031667,8796093022208,48,"8796093022208/2^48","134217728"
FQ112093,3,0x0000c000,0x03031aab,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112094,3,0x0000c000,0x03031ccd,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112095,3,0x0000c000,0x03032113,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112096,3,0x0000c000,0x03032557,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112097,3,0x0000c000,0x0303299b,8796093022208,48,"8796093022208/2^48","134217728"
FQ112098,3,0x0000c000,0x03032cce,8796093022208,48,"8796093022208/2^48","134217728"
FQ112099,3,0x0000c000,0x03032ddf,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112100,3,0x0000c000,0x03033112,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112101,3,0x0000c000,0x03033330,13194139533312,48,"13194139533312/2^48","201326592"
FQ112102,3,0x0000c000,0x03033556,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112103,3,0x0000c000,0x03033665,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112104,3,0x0000c000,0x0303399a,13194139533312,48,"13194139533312/2^48","201326592"
FQ112105,3,0x0000c000,0x03033ccf,17592186044416,48,"17592186044416/2^48","268435456"
FQ112106,3,0x0000c000,0x03033dde,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112107,3,0x0000c000,0x03033eed,8796093022208,48,"8796093022208/2^48","134217728"
FQ112108,3,0x0000c000,0x03035227,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112109,3,0x0000c000,0x03035336,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112110,3,0x0000c000,0x03035663,8796093022208,48,"8796093022208/2^48","134217728"
FQ112111,3,0x0000c000,0x03035aaf,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112112,3,0x0000c000,0x03035cc9,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112113,3,0x0000c000,0x03036117,8796093022208,48,"8796093022208/2^48","134217728"
FQ112114,3,0x0000c000,0x03036335,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112115,3,0x0000c000,0x03036553,8796093022208,48,"8796093022208/2^48","134217728"
FQ112116,3,0x0000c000,0x03036cca,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112117,3,0x0000c000,0x03036ee8,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112118,3,0x0000c000,0x0303922b,8796093022208,48,"8796093022208/2^48","134217728"
FQ112119,3,0x0000c000,0x0303933a,13194139533312,48,"13194139533312/2^48","201326592"
FQ112120,3,0x0000c000,0x03039aa3,8796093022208,48,"8796093022208/2^48","134217728"
FQ112121,3,0x0000c000,0x03039cc5,8796093022208,48,"8796093022208/2^48","134217728"
FQ112122,3,0x0000c000,0x03039ee7,8796093022208,48,"8796093022208/2^48","134217728"
FQ112123,3,0x0000c000,0x0303a11b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112124,3,0x0000c000,0x0303a55f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112125,3,0x0000c000,0x0303a993,8796093022208,48,"8796093022208/2^48","134217728"
FQ112126,3,0x0000c000,0x0303acc6,8796093022208,48,"8796093022208/2^48","134217728"
FQ112127,3,0x0000c000,0x0303add7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112128,3,0x0000c000,0x0303c11d,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112129,3,0x0000c000,0x0303c22e,8796093022208,48,"8796093022208/2^48","134217728"
FQ112130,3,0x0000c000,0x0303c33f,17592186044416,48,"17592186044416/2^48","268435456"
FQ112131,3,0x0000c000,0x0303c559,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112132,3,0x0000c000,0x0303c66a,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112133,3,0x0000c000,0x0303c995,8796093022208,48,"8796093022208/2^48","134217728"
FQ112134,3,0x0000c000,0x0303caa6,8796093022208,48,"8796093022208/2^48","134217728"
FQ112135,3,0x0000c000,0x0303ccc0,17592186044416,48,"17592186044416/2^48","268435456"
FQ112136,3,0x0000c000,0x0303cdd1,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112137,3,0x0000c000,0x0303cee2,8796093022208,48,"8796093022208/2^48","134217728"
FQ112138,3,0x0000c000,0x0303d22f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112139,3,0x0000c000,0x0303d33e,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112140,3,0x0000c000,0x0303daa7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112141,3,0x0000c000,0x0303dcc1,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112142,3,0x0000c000,0x0303dee3,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112143,3,0x0000c000,0x0303e33d,8796093022208,48,"8796093022208/2^48","134217728"
FQ112144,3,0x0000c000,0x0303e668,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112145,3,0x0000c000,0x0303e997,8796093022208,48,"8796093022208/2^48","134217728"
