path,round,active_nibbles,generation_command,beam,trans,branch,certified_only,row_count,sha256,used_in_final_submit
experiments/r2_active3_near_15090_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,8,c331535bc7d52153334dbd3fc59bfe49c245d404185ac24eaf1bf6e0936da5ac,1
experiments/r2_active3_near_189970_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,6,8eaac3334c03a4f0f9871aff988a97f64a510fbe54dfbe47ea7333b4c08fb92f,1
experiments/r2_active3_near_189990_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,106,bfafb523234ffb8d383b7a15296815292f3fa22d06ec03878bc4829d4948d11a,1
experiments/r2_active3_near_190010_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,202,3c6d82f52a25200ed0a84f56292e4812602ff6f91b0244ad3bed45c94d337f65,1
experiments/r2_active3_near_190030_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,208,e537904f1c01fc7110b645fc5609c8457dea123edd474172dee857571d7ddebc,1
experiments/r2_active3_near_190050_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,83,07dae04cb628574aabd7e46c5453797be1801acdbbc27c0c7aa0a37270663d61,1
experiments/r2_active3_near_190070_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,134,9b33a23c019527885c68e2865ae08c07db0923780cbfff8d7dae1906635119c7,1
experiments/r2_active3_near_190090_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,60,dda8d9fa54300d18cc672c03eddf2c505f727585fa427834ded55cbf44bcf348,1
experiments/r2_active3_near_190110_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,96,4e300e146d1d49d296775e6ab37f8bfa5d87ce2884064ce7cdd5aad9b66ecebb,1
experiments/r2_active3_near_190130_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,84,31f314b99d298be72602fffd86b82acbd8562efdc5d4c75b99906287d14e7ffb,1
experiments/r2_active3_near_190150_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,32,ee4f626f1075588bf1117377326f66dc88457d29310096c84bf016d40605b30e,1
experiments/r2_active3_near_190170_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,4,02d7658a5caad4559b3cd809008b87ada474948c50f7032c75577b7d096bf923,1
experiments/r2_active3_near_190190_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,12,b2f5e98a512bf35ef0c8f0296d7d8d09357f40705f9a9f2d7a6ff28ac895f83e,1
experiments/r2_active3_near_190210_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,8,1b809530c3c0d446b7a42b990a378bc8de52af6fd9fb8824796c7c8ad8df5d89,1
experiments/r2_active3_near_190230_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,12,2fce327883c575046ee370152bcccc4e8f9a55db8af9daf4ae3fbfa53bea02ae,1
