row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ129316,3,0x00f00000,0x0eee010f,6597069766656,48,"6597069766656/2^48","100663296"
FQ129317,3,0x00f00000,0x0eee030d,5497558138880,48,"5497558138880/2^48","83886080"
FQ129318,3,0x00f00000,0x0eee030e,5497558138880,48,"5497558138880/2^48","83886080"
FQ129319,3,0x00f00000,0x0eee0401,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129320,3,0x00f00000,0x0eee0405,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129321,3,0x00f00000,0x0eee0409,5497558138880,48,"5497558138880/2^48","83886080"
FQ129322,3,0x00f00000,0x0eee040d,5497558138880,48,"5497558138880/2^48","83886080"
FQ129323,3,0x00f00000,0x0eee0907,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129324,3,0x00f00000,0x0eee090e,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129325,3,0x00f00000,0x0eee0a04,8796093022208,48,"8796093022208/2^48","134217728"
FQ129326,3,0x00f00000,0x0eee0a0e,8796093022208,48,"8796093022208/2^48","134217728"
FQ129327,3,0x00f00000,0x0fff000e,6597069766656,48,"6597069766656/2^48","100663296"
FQ129328,3,0x00f00000,0x0fff000f,7696581394432,48,"7696581394432/2^48","117440512"
FQ129329,3,0x00f00000,0x0fff0708,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129330,3,0x00f00000,0x0fff070f,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129331,3,0x00f00000,0x0fff0906,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129332,3,0x00f00000,0x0fff090f,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129333,3,0x00f00000,0x11100f01,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129334,3,0x00f00000,0x14450504,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129335,3,0x00f00000,0x15540b05,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129336,3,0x00f00000,0x1bba040b,-6322191859712,48,"-6322191859712/2^48","-96468992"
FQ129337,3,0x00f00000,0x1bba050b,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129338,3,0x00f00000,0x1ccd010c,4947802324992,48,"4947802324992/2^48","75497472"
FQ129339,3,0x00f00000,0x1ccd080c,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129340,3,0x00f00000,0x1eef000e,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129341,3,0x00f00000,0x1eef0f0e,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129342,3,0x00f00000,0x2cce010c,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129343,3,0x00f00000,0x388b0108,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129344,3,0x00f00000,0x388b090c,4672924418048,48,"4672924418048/2^48","71303168"
FQ129345,3,0x00f00000,0x388b0e08,5497558138880,48,"5497558138880/2^48","83886080"
FQ129346,3,0x00f00000,0x3ccf0d08,4672924418048,48,"4672924418048/2^48","71303168"
FQ129347,3,0x00f00000,0x41150b05,5222680231936,48,"5222680231936/2^48","79691776"
