n_nibbles,rounds,u,v,exact,dp,abs_err,rel_err,match,sign_flip_suspect,transpose_like_suspect
4,1,0x44cb,0xc854,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa066,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xcc0f,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x203c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x20dd,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa27b,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe966,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3904,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8008,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6e2d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xf016,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb62e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x84a6,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5dcf,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6a69,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9d59,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x65ff,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7e25,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb88e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x29a9,0.015625,0.015625,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8fc3,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2dc7,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe553,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2e54,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xad82,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7471,0.015625,0.015625,0.000000e+00,0.000000e+00,1,0,0
