r,u
2,0x00600004
2,0x00600005
2,0x00600006
2,0x00600007
2,0x00600008
2,0x0060000a
2,0x0060000b
2,0x0060000c
2,0x0060000e
2,0x0060000f
2,0x00600100
2,0x00600200
2,0x00600300
2,0x00600400
2,0x00600500
2,0x00600600
2,0x00600700
2,0x00600800
2,0x00600900
2,0x00600a00
2,0x00600b00
2,0x00600c00
2,0x00600d00
2,0x00600e00
2,0x00600f00
2,0x00601000
2,0x00602000
2,0x00603000
2,0x00604000
2,0x00605000
2,0x00606000
2,0x00607000
2,0x00608000
2,0x00609000
2,0x0060a000
2,0x0060b000
2,0x0060c000
2,0x0060d000
2,0x0060e000
2,0x0060f000
2,0x00700000
2,0x00700004
2,0x00700005
2,0x00700006
2,0x00700007
2,0x00700008
2,0x00700009
2,0x0070000a
2,0x0070000b
2,0x0070000c
2,0x0070000d
2,0x0070000e
2,0x00700100
2,0x00700200
2,0x00700300
2,0x00700400
2,0x00700500
2,0x00700600
2,0x00700700
2,0x00700800
2,0x00700900
2,0x00700a00
2,0x00700b00
2,0x00700c00
2,0x00700d00
2,0x00700e00
2,0x00700f00
2,0x00701000
2,0x00702000
2,0x00703000
2,0x00704000
2,0x00705000
2,0x00706000
2,0x00707000
2,0x00708000
2,0x00709000
2,0x0070a000
2,0x0070b000
2,0x0070c000
2,0x0070d000
2,0x0070e000
2,0x0070f000
2,0x00800000
2,0x00800001
2,0x00800003
2,0x00800004
2,0x00800005
2,0x00800006
2,0x00800007
2,0x00800008
2,0x00800009
2,0x0080000a
2,0x0080000b
2,0x0080000c
2,0x0080000e
2,0x00800100
2,0x00800200
2,0x00800300
2,0x00800400
2,0x00800500
2,0x00800600
2,0x00800700
2,0x00800800
2,0x00800900
2,0x00800a00
2,0x00800b00
2,0x00800c00
2,0x00800d00
2,0x00800e00
2,0x00800f00
2,0x00801000
2,0x00801a00
2,0x00801c00
2,0x00802000
2,0x00802003
2,0x00802005
2,0x00802006
2,0x00802009
2,0x0080200a
2,0x0080200c
2,0x00802300
2,0x00802500
2,0x00802600
2,0x00802900
2,0x00802a00
2,0x00802c00
2,0x00803000
2,0x00804000
2,0x00804600
2,0x00804900
2,0x00804a00
2,0x00804c00
2,0x00805000
2,0x00805004
2,0x00805008
2,0x00805100
2,0x00805200
2,0x00805400
2,0x00805800
2,0x00806000
2,0x00806004
2,0x00806008
2,0x00806100
2,0x00806200
2,0x00806400
2,0x00806800
2,0x00807000
2,0x00808000
2,0x00808a00
2,0x00808c00
2,0x00809000
